ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
645,DESPENSA SUSANA,ALFREDO BERNAL,972145678,MUJER,96,NO,SÍ,NO,MICRO,SÍ,0,-23.41828,-57.44784,CENTROS COMERCIALES
646,COPETIN RIOMA ,JULIO CORREA CASI MONSEÑOR  LACHI ,984115529,MUJER,96,NO,SÍ,NO,MICRO,SÍ,0,-23.41996,-57.43875,DISTRIBUIDORAS - Empresas
647,COPETIN TERESA ORTIZ ,MONSEÑOR LACHI GONZALEZ ,971572109,MUJER,24,NO,SÍ,NO,MICRO,SÍ,0,-23.41818,-57.43883,FARMACIAS
648,CONFECCINES GLADYS,DON BOSCO CASI PROFESOR CABRAL,(0331)243674,MUJER,36,NO,SÍ,NO,PEQUEÑA,SÍ,1095092-3,-23.40733,-57.43826,ALMACENES GENERALES DE DEPOSITO
649,LAVANDERIA TEOTAN,CALLE UBALDO CABRERA,976814847,MUJER,36,NO,NO,SÍ,MICRO,NO,0,-23.40811,-57.43565,CENTROS COMERCIALES
650,SAN MINGUEL,DON BOSCO  CASI PROFESOR GUILLERMO CABRAL,971545138,MUJER,5,NO,SÍ,NO,MICRO,SÍ,0,-23.4075,-57.43817,ROPAS DE CUERO
651,BRIMI FAHSION CONCEPCIÓN,SARGENTO PIRELLI,986370726,MUJER,1,NO,SÍ,NO,MICRO,SÍ,0,-23.40756,-57.43555,MUEBLES - Compra/Venta
652,COPETIN IRASEMA,CALLE DON BOSCO,991480091,MUJER,4,NO,SÍ,NO,MICRO,NO,0,-23.40766,-57.43628,TIENDAS
653,MONCHOLO,PADRE SARMIENTO Y SARGUENTO PILLERI,982121682,HOMBRE,144,NO,SÍ,NO,MICRO,SÍ,822745-4,-23.40686,-57.4367,CAMARAS DE COMERCIO
654,TAPICERIA SERVICAP,CALLE DON BOSCO,984965274,HOMBRE,24,SÍ,SÍ,NO,MICRO,NO,0,-23.40763,-57.43626,PELUQUERIAS
655,OPTICA SOL,CALLE DON BOSCO,0,MUJER,36,NO,NO,SÍ,MICRO,NO,0,-23.4076,-57.43626,BARES Y COPETINES
656,JOYERIA Y RELOJERIA MILY,CALLE DON BOSCO,0,MUJER,24,NO,SÍ,NO,MICRO,NO,0,-23.4076,-57.4363,COMPRA - VENTA DE ARTICULOS
657,COMERCIAL ILUMI,DON BOSCO ,331240162,HOMBRE,42,NO,NO,SÍ,MICRO,NO,0,-23.40758,-57.43625,MUEBLES - Compra/Venta
658,ILUMI COMERCIAL,CALLE DON BOSCO,984773476,HOMBRE,48,SÍ,SÍ,NO,MICRO,NO,0,-23.40762,-57.43634,ROPERIAS
659,DESPENSA SAMANIEDO,DIN BOSCO CASI SARGUENTO PIRELLI,331240050,MUJER,300,SÍ,NO,NO,MICRO,SÍ,1709160-8,-23.40744,-57.43615,CARNICERIAS
660,TODO LIBROS ,MARISCAL ESTIGARRIBIA Y 14 DE MAYO ,243498,HOMBRE,60,NO,SÍ,NO,MICRO,SÍ,5479499-4,-23.40838,-57.44384,DISTRIBUIDORAS - Empresas
